,Unnamed: 0,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,0,2018-01-31 23:59,1,그날처럼,장덕철 ,"215,957,136",55,댄스/팝,2017.11.28
1,1,2018-01-31 23:59,2,instagram,DEAN ,"164,021,171",26,알앤비/소울,2017.12.26
2,2,2018-01-31 23:59,3,비행운,문문 (MoonMoon) ,"151,749,297",5,인디,2016.11.10
3,3,2018-01-31 23:59,4,#첫사랑,볼빨간사춘기 ,"149,568,914",new,인디,2018.01.10
4,4,2018-01-31 23:59,5,선물,멜로망스(Melomance) ,"140,433,130",1,인디,2017.07.10
5,5,2018-01-31 23:59,6,겨울소리,박효신 ,"127,913,224",HOT,발라드,2018.01.01
6,6,2018-01-31 23:59,7,Heart Shaker,TWICE ,"126,764,397",4,댄스/팝,2017.12.11
7,7,2018-01-31 23:59,8,답장,김동률 ,"124,581,995",new,발라드,2018.01.11
8,8,2018-01-31 23:59,9,Havana (Feat. Young Thug),Camila Cabello ,"116,626,848",13,팝,2018.01.12
9,9,2018-01-31 23:59,10,밤이 되니까,펀치 (Punch) ,"107,959,349",1,알앤비/소울,2017.09.29
10,10,2018-01-31 23:59,11,기억의 빈자리,나얼 ,"103,097,098",10,발라드,2017.11.29
11,11,2018-01-31 23:59,12,주인공,선미 ,"102,983,679",new,댄스/팝,2018.01.18
12,12,2018-01-31 23:59,13,좋니,윤종신 ,"97,958,317",3,발라드,2017.06.22
13,13,2018-01-31 23:59,14,좋아,"윤종신, 민서 ","94,194,139",8,발라드,2017.11.15
14,14,2018-01-31 23:59,15,피카부 (Peek-A-Boo),레드벨벳(Red Velvet) ,"88,971,642",8,댄스/팝,2017.11.17
15,15,2018-01-31 23:59,16,LIKEY,TWICE ,"82,415,122",4,댄스/팝,2017.10.30
16,16,2018-01-31 23:59,17,Lonely (Feat. 태연),종현 (JONGHYUN) ,"81,389,703",4,알앤비/소울,2017.04.24
17,17,2018-01-31 23:59,18,all of my life,박원 ,"80,483,236",1,댄스/팝,2017.07.27
18,18,2018-01-31 23:59,19,DNA,방탄소년단 ,"77,679,931",5,댄스/팝,2017.09.18
19,19,2018-01-31 23:59,20,"그때의 나, 그때의 우리",어반 자카파 (Urban Zakapa) ,"74,106,642",9,댄스/팝,2017.11.08
20,20,2018-01-31 23:59,21,Universe,EXO ,"73,609,680",15,발라드,2017.12.26
21,21,2018-01-31 23:59,22,썸 탈꺼야,볼빨간사춘기 ,"72,459,675",5,인디,2017.09.28
