date,genre,score
2022.02.28,OST,31293900
2022.02.28,댄스/팝,1110710050
2022.02.28,락,19309494
2022.02.28,락/메탈,12236508
2022.02.28,랩/힙합,618760130
2022.02.28,발라드,1007541578
2022.02.28,성인가요,121315697
2022.02.28,알앤비/소울,85588419
2022.02.28,인디,213321750
2022.02.28,일렉트로닉,22681201
2022.02.28,캐롤,11331535
2022.02.28,팝,282672322
2022.02.28,포크/어쿠스틱,197728675
2022.03.31,OST,33480556
2022.03.31,댄스/팝,1477363123
2022.03.31,락,28845338
2022.03.31,락/메탈,25841677
2022.03.31,랩/힙합,482990888
2022.03.31,발라드,1215618901
2022.03.31,성인가요,132650533
2022.03.31,알앤비/소울,157028630
2022.03.31,인디,262140459
2022.03.31,일렉트로닉,21147320
2022.03.31,캐롤,9036622
2022.03.31,팝,323967205
2022.03.31,포크/어쿠스틱,172130843
2022.04.30,OST,48448728
2022.04.30,댄스,8140671
2022.04.30,댄스/팝,2005590255
2022.04.30,락,28746644
2022.04.30,락/메탈,43239436
2022.04.30,랩/힙합,422585250
2022.04.30,발라드,1171758641
2022.04.30,성인가요,132985906
2022.04.30,알앤비/소울,200233125
2022.04.30,인디,308067313
2022.04.30,일렉트로닉,11025087
2022.04.30,팝,332741112
2022.04.30,포크/어쿠스틱,161728606
2022.05.31,OST,40311466
2022.05.31,댄스,137948270
2022.05.31,댄스/팝,1922318478
2022.05.31,락,24001931
2022.05.31,락/메탈,31843363
2022.05.31,랩/힙합,454109091
2022.05.31,발라드,1423923484
2022.05.31,성인가요,42974534
2022.05.31,알앤비/소울,183679104
2022.05.31,인디,499338752
2022.05.31,일렉트로닉,10045668
2022.05.31,팝,354985053
2022.05.31,포크/어쿠스틱,116114332
2022.06.30,OST,29710756
2022.06.30,댄스,97400628
2022.06.30,댄스/팝,1793788034
2022.06.30,락,20051958
2022.06.30,락/메탈,36439449
2022.06.30,랩/힙합,380564488
2022.06.30,발라드,1196636630
2022.06.30,성인가요,28011117
2022.06.30,알앤비/소울,132541112
2022.06.30,인디,468757395
2022.06.30,일렉트로닉,9297068
2022.06.30,팝,329679782
2022.06.30,포크/어쿠스틱,84677782
2022.07.31,OST,40395118
2022.07.31,댄스,84909759
2022.07.31,댄스/팝,2156308973
2022.07.31,락,17339318
2022.07.31,락/메탈,25068994
2022.07.31,랩/힙합,396506921
2022.07.31,발라드,1085793029
2022.07.31,성인가요,26636200
2022.07.31,알앤비/소울,112251919
2022.07.31,인디,559299436
2022.07.31,일렉트로닉,30132189
2022.07.31,팝,303270417
2022.07.31,포크/어쿠스틱,85453264
2022.08.31,OST,60855759
2022.08.31,댄스,65572121
2022.08.31,댄스/팝,2330056669
2022.08.31,락,8483482
2022.08.31,락/메탈,21138690
2022.08.31,랩/힙합,346832420
2022.08.31,발라드,1078939002
2022.08.31,성인가요,25667309
2022.08.31,알앤비/소울,95775723
2022.08.31,인디,519012231
2022.08.31,일렉트로닉,39745369
2022.08.31,팝,333484225
