date,rank,ranking changes,title,artist,score,seqmom,release,genre
2022.02.28,1,-,취중고백,김민석,73603820,2291415,2021.12.19,발라드
2022.02.28,2,+3,ELEVEN,IVE (아이브),59008259,2280458,2021.12.01,댄스/팝
2022.02.28,3,+4,사랑은 늘 도망가,임영웅,58776077,2250335,2021.10.11,발라드
2022.02.28,4,-2,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,58090116,2267913,2021.11.13,랩/힙합
2022.02.28,5,+7,Step Back,GOT the beat,56555341,2302482,2022.01.03,댄스/팝
2022.02.28,6,+67,호랑수월가,탑현,52830804,2306092,2022.01.15,발라드
2022.02.28,7,-1,리무진 (Feat. MINO) (Prod. GRAY),BE`O (비오),51686010,2272216,2021.11.20,랩/힙합
2022.02.28,8,new,INVU,태연 (TAEYEON),49770683,2321943,2022.02.14,댄스/팝
2022.02.28,9,-,눈이 오잖아 (Feat.헤이즈),이무진,47261915,2280274,2021.12.03,발라드
2022.02.28,10,-7,Counting Stars (Feat. Beenzino),BE`O (비오),47144580,2287362,2021.12.12,랩/힙합
2022.02.28,11,+97,SMILEY (Feat. BIBI),YENA(최예나),47066635,2309210,2022.01.17,댄스/팝
2022.02.28,12,-4,Dreams Come True,aespa,46353714,2292703,2021.12.20,댄스/팝
2022.02.28,13,+33,Can`t Control Myself,태연 (TAEYEON),46209677,2309184,2022.01.17,발라드
2022.02.28,14,-1,다정히 내 이름을 부르면,"경서예지, 전건호",45773641,2165559,2021.05.19,발라드
2022.02.28,15,+1,Stay,"The Kid LAROI, Justin Bieber",42902275,2198878,2021.07.09,팝
2022.02.28,16,+40,abcdefu,GAYLE,42040714,2222507,2021.08.13,팝
2022.02.28,17,-2,신호등,이무진,41259634,2160835,2021.05.14,댄스/팝
2022.02.28,18,-14,겨울잠,아이유 (IU),40812954,2298490,2021.12.29,포크/어쿠스틱
2022.02.28,19,-1,Next Level,aespa,39888910,2165746,2021.05.17,댄스/팝
2022.02.28,20,-6,strawberry moon,아이유 (IU),38850440,2254559,2021.10.19,댄스/팝
2022.02.28,21,-11,드라마,아이유 (IU),38249869,2298492,2021.12.29,포크/어쿠스틱
2022.02.28,22,-11,만남은 쉽고 이별은 어려워 (Feat. Leellamarz) (Prod. TOIL),베이식(Basick),36625266,2272214,2021.11.20,랩/힙합
2022.02.28,23,new,언제나 사랑해,케이시 (Kassy),36512589,2318393,2022.02.07,발라드
2022.02.28,24,-7,Savage,aespa,35158760,2247253,2021.10.05,댄스/팝
