date,genre,score
2019-05-01,OST,19571032
,댄스/팝,1973760024
,락,100669854
,랩/힙합,1308776183
,발라드,2047575391
,성인가요,44163409
,알앤비/소울,407383715
,인디,1058075281
,일렉트로닉,121597496
,캐롤,15551281
,팝,635030340
,포크/어쿠스틱,38648106
2019-06-01,OST,16821701
,댄스/팝,1738623360
,락,118166881
,랩/힙합,1042795841
,발라드,2174467076
,성인가요,50608931
,알앤비/소울,426654703
,인디,839689012
,일렉트로닉,126968067
,캐롤,12724290
,팝,937086726
2019-07-01,OST,29414029
,댄스/팝,1876998734
,락,112537455
,랩/힙합,862243878
,발라드,2568282934
,성인가요,44858691
,알앤비/소울,595712234
,인디,753529749
,일렉트로닉,94938836
,팝,953804915
2019-08-01,OST,13010714
,댄스/팝,1649410585
,락,110634617
,랩/힙합,814646496
,발라드,3035535061
,성인가요,37402742
,알앤비/소울,404705577
,인디,687812744
,일렉트로닉,78171364
,팝,793334678
2019-09-01,댄스/팝,1261882045
,락,72248770
,랩/힙합,697658308
,발라드,3083940386
,성인가요,23125675
,알앤비/소울,429464604
,인디,992986061
,일렉트로닉,46534324
,팝,594623929
,포크/어쿠스틱,247513164
2019-10-01,댄스/팝,903031242
,락,83156826
,랩/힙합,733150336
,발라드,2977650863
,성인가요,15012202
,알앤비/소울,644402890
,인디,991030444
,일렉트로닉,33904628
,팝,598411544
,포크/어쿠스틱,580491553
2019-11-01,OST,41665709
,댄스/팝,1692032629
,락,53222511
,랩/힙합,832109958
,발라드,2887241714
,알앤비/소울,421159080
,인디,654536158
,일렉트로닉,29032505
,캐롤,48301067
,팝,591064426
,포크/어쿠스틱,255395136
2019-12-01,OST,30704728
,댄스/팝,1867118840
,락,38328049
,랩/힙합,836108922
,발라드,2596749871
,알앤비/소울,346455731
,인디,439589661
,일렉트로닉,25398343
,캐롤,279562971
,팝,744035732
,포크/어쿠스틱,111684048
2020-01-01,OST,13891785
,댄스/팝,1525374876
,락,34705899
,랩/힙합,1131204080
,발라드,2404612900
,성인가요,53530684
,알앤비/소울,228406727
,인디,478667713
,일렉트로닉,25574077
,캐롤,91005361
,팝,591184867
,포크/어쿠스틱,94508736
2020-02-01,OST,11507193
,댄스/팝,1368861335
,락,30532923
,랩/힙합,809100173
,발라드,2300665052
,성인가요,63014241
,알앤비/소울,210499056
,인디,371296893
,일렉트로닉,34967310
,캐롤,29138215
,팝,564362250
,포크/어쿠스틱,70392313
2020-03-01,OST,27762731
,댄스/팝,1786691271
,락,42355252
,락/메탈,11662255
,랩/힙합,522367562
,발라드,1967648136
,성인가요,197124451
,알앤비/소울,196694229
,인디,426135874
,일렉트로닉,12481737
,캐롤,13569132
,팝,547623540
,포크/어쿠스틱,76205040
2020-04-01,댄스/팝,1684828879
,락,42560404
,락/메탈,107313849
,랩/힙합,422005755
,발라드,1718698765
,성인가요,271285679
,알앤비/소울,227239249
,인디,556837626
,일렉트로닉,12375605
,캐롤,11211526
,팝,569194977
,포크/어쿠스틱,104624674
2020-05-01,댄스/팝,2200667543
,락,46224753
,락/메탈,22112570
,랩/힙합,341862882
,발라드,1460274718
,성인가요,251837827
,알앤비/소울,383203340
,인디,745694976
,일렉트로닉,12537177
,팝,596323275
,포크/어쿠스틱,104471170
2020-06-01,댄스/팝,1989975678
,락,57891384
,락/메탈,13968778
,랩/힙합,472456819
,발라드,1187023022
,성인가요,235565341
,알앤비/소울,485328731
,인디,637947829
,일렉트로닉,11996766
,팝,620249895
,포크/어쿠스틱,68532993
2020-07-01,OST,14906995
,댄스/팝,2525497358
,락,44793863
,랩/힙합,653345921
,발라드,1183722928
,성인가요,200149879
,알앤비/소울,349917577
,인디,544195515
,일렉트로닉,11144552
,팝,589715443
,포크/어쿠스틱,53213861
2020-08-01,댄스/팝,2726873528
,락,49118083
,랩/힙합,611038076
,발라드,1134892367
,성인가요,163435928
,알앤비/소울,368844337
,인디,456695401
,일렉트로닉,9765718
,팝,540641951
,포크/어쿠스틱,52494982
