,³¯Â¥,Àå¸£,score,±×·ìº° ¼øÀ§
1,2018-01-31,´í½º/ÆË,2269774156.0,1.0
4,2018-01-31,¹ß¶óµå,1623662853.0,2.0
6,2018-01-31,ÀÎµð,727503023.0,3.0
5,2018-01-31,¾Ë¾Øºñ/¼Ò¿ï,410788389.0,4.0
3,2018-01-31,·¦/ÈüÇÕ,362397001.0,5.0
9,2018-01-31,ÆË,270830517.0,6.0
0,2018-01-31,OST,93845744.0,7.0
10,2018-01-31,Æ÷Å©/¾îÄí½ºÆ½,70633057.0,8.0
2,2018-01-31,¶ô,60516595.0,9.0
8,2018-01-31,Ä³·Ñ,43116073.0,10.0
7,2018-01-31,ÀÏ·ºÆ®·Î´Ð,25922831.0,11.0
12,2018-02-28,´í½º/ÆË,2031794508.0,1.0
16,2018-02-28,¹ß¶óµå,1393532719.0,2.0
18,2018-02-28,ÀÎµð,510549561.0,3.0
15,2018-02-28,·¦/ÈüÇÕ,455467671.0,4.0
17,2018-02-28,¾Ë¾Øºñ/¼Ò¿ï,393257173.0,5.0
20,2018-02-28,ÆË,305006326.0,6.0
13,2018-02-28,¶ô,83104208.0,7.0
21,2018-02-28,Æ÷Å©/¾îÄí½ºÆ½,75604813.0,8.0
11,2018-02-28,OST,70548536.0,9.0
14,2018-02-28,¶ô/¸ÞÅ»,33834850.0,10.0
19,2018-02-28,ÀÏ·ºÆ®·Î´Ð,23548118.0,11.0
23,2018-03-31,´í½º/ÆË,2338536410.0,1.0
27,2018-03-31,¹ß¶óµå,1271269396.0,2.0
26,2018-03-31,·¦/ÈüÇÕ,1013952678.0,3.0
28,2018-03-31,¾Ë¾Øºñ/¼Ò¿ï,591226032.0,4.0
29,2018-03-31,ÀÎµð,502535703.0,5.0
31,2018-03-31,ÆË,326752417.0,6.0
24,2018-03-31,¶ô,109617571.0,7.0
32,2018-03-31,Æ÷Å©/¾îÄí½ºÆ½,64039266.0,8.0
22,2018-03-31,OST,50526682.0,9.0
25,2018-03-31,¶ô/¸ÞÅ»,31019500.0,10.0
30,2018-03-31,ÀÏ·ºÆ®·Î´Ð,26806393.0,11.0
34,2018-04-30,´í½º/ÆË,1889139516.0,1.0
36,2018-04-30,·¦/ÈüÇÕ,1560983903.0,2.0
37,2018-04-30,¹ß¶óµå,1445036497.0,3.0
38,2018-04-30,¾Ë¾Øºñ/¼Ò¿ï,489391590.0,4.0
39,2018-04-30,ÀÎµð,446613486.0,5.0
40,2018-04-30,ÆË,296690229.0,6.0
35,2018-04-30,¶ô,100154448.0,7.0
41,2018-04-30,Æ÷Å©/¾îÄí½ºÆ½,47150334.0,8.0
33,2018-04-30,OST,44020345.0,9.0
43,2018-05-31,´í½º/ÆË,1654715679.0,1.0
46,2018-05-31,¹ß¶óµå,1485689028.0,2.0
45,2018-05-31,·¦/ÈüÇÕ,1364213502.0,3.0
48,2018-05-31,ÀÎµð,512413951.0,4.0
47,2018-05-31,¾Ë¾Øºñ/¼Ò¿ï,490727651.0,5.0
50,2018-05-31,ÆË,256369298.0,6.0
44,2018-05-31,¶ô,99477988.0,7.0
49,2018-05-31,ÀÏ·ºÆ®·Î´Ð,57216670.0,8.0
