,날짜,순위,곡명,가수,score,순위 변화,장르,발매일
0,2019-09-30 23:59:59,1,안녕,폴킴 ,"176,870,416",3,"발라드,
OST ",2019.08.12
1,2019-09-30 23:59:59,2,워커홀릭,볼빨간사춘기 ,"150,919,015",new,"인디,
댄스/팝 ",2019.09.10
2,2019-09-30 23:59:59,3,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준 ,"143,089,884",HOT,"인디,
OST ",2019.08.23
3,2019-09-30 23:59:59,4,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (Maktub) ,"140,155,389",1,"인디,
발라드,
알앤비/소울 ",2019.06.09
4,2019-09-30 23:59:59,5,기억해줘요 내 모든 날과 그때를,거미 ,"139,537,300",4,"발라드,
OST ",2019.08.04
5,2019-09-30 23:59:59,6,가을밤 떠난 너,케이시 (Kassy) ,"131,225,346",new,발라드 ,2019.09.05
6,2019-09-30 23:59:59,7,헤어지자 (Prod. 정키),휘인 (Whee In) ,"131,133,092",new,발라드 ,2019.09.04
7,2019-09-30 23:59:59,8,시든 꽃에 물을 주듯,HYNN(박혜원) ,"126,723,766",14,발라드 ,2019.03.31
8,2019-09-30 23:59:59,9,그대라는 시,태연 (TAEYEON) ,"116,846,029",7,"발라드,
OST ",2019.07.21
9,2019-09-30 23:59:59,10,니 소식,송하예 ,"111,924,624",4,발라드 ,2019.05.11
10,2019-09-30 23:59:59,11,포장마차,황인욱 ,"109,767,041",3,발라드 ,2019.06.20
11,2019-09-30 23:59:59,12,Done For Me,펀치 (Punch) ,"101,588,016",7,"발라드,
OST ",2019.08.18
12,2019-09-30 23:59:59,13,술이 문제야,"장혜진, 윤민수 ","101,165,339",8,발라드 ,2019.06.18
13,2019-09-30 23:59:59,14,2002,Anne-Marie ,"96,246,765",5,"알앤비/소울,
일렉트로닉 ",2018.04.27
14,2019-09-30 23:59:59,15,날라리 (LALALAY),선미 ,"90,356,745",74,댄스/팝 ,2019.08.27
15,2019-09-30 23:59:59,16,내 목소리 들리니,벤 (Ben) ,"89,815,712",3,"발라드,
OST ",2019.08.11
16,2019-09-30 23:59:59,17,사랑에 연습이 있었다면 (Prod. 2soo),임재현 ,"89,518,088",6,발라드 ,2018.09.25
17,2019-09-30 23:59:59,18,나빠(NAPPA),크러쉬 (CRUSH) ,"86,043,898",77,알앤비/소울 ,2019.08.28
18,2019-09-30 23:59:59,19,헤어져줘서 고마워,벤 (Ben) ,"82,107,455",9,발라드 ,2019.07.03
19,2019-09-30 23:59:59,20,나의 어깨에 기대어요,10cm ,"80,528,837",5,"발라드,
OST ",2019.07.20
20,2019-09-30 23:59:59,21,내 맘을 볼 수 있나요,헤이즈 (Heize) ,"79,254,947",14,"발라드,
OST ",2019.07.28
21,2019-09-30 23:59:59,22,Senorita,"Shawn Mendes, Camila Cabello ","77,528,470",1,팝 ,2019.06.21
22,2019-09-30 23:59:59,23,bad guy,Billie Eilish ,"76,454,202",9,팝 ,2019.03.29
23,2019-09-30 23:59:59,24,사랑이 식었다고 말해도 돼,먼데이 키즈 (Monday Kiz) ,"75,523,134",2,발라드 ,2019.05.27
24,2019-09-30 23:59:59,25,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤) ,"74,332,816",new,"포크/어쿠스틱,
발라드,
락/메탈 ",2019.09.25
25,2019-09-30 23:59:59,26,ICY,ITZY (있지) ,"70,281,278",14,댄스/팝 ,2019.07.29
26,2019-09-30 23:59:59,27,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴 ,"69,506,729",1,"발라드,
OST ",2018.03.20
27,2019-09-30 23:59:59,28,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단 ,"68,570,554",11,"랩/힙합,
알앤비/소울 ",2019.04.12
28,2019-09-30 23:59:59,29,가끔 이러다,펀치 (Punch) ,"67,670,372",new,알앤비/소울 ,2019.09.18
29,2019-09-30 23:59:59,30,사랑이란 멜로는 없어,전상근 ,"65,277,168",new,발라드 ,2019.09.08
30,2019-09-30 23:59:59,31,솔직하게 말해서 나,김나영 ,"64,684,576",13,발라드 ,2019.06.09
31,2019-09-30 23:59:59,32,Speechless (Full),Naomi Scott ,"64,577,632",16,"팝,
OST ",2019.05.22
32,2019-09-30 23:59:59,33,벗,닐로 (Nilo) ,"61,984,527",HOT,발라드 ,2019.08.26
33,2019-09-30 23:59:59,34,음파음파 (Umpah Umpah),레드벨벳(Red Velvet) ,"61,560,452",22,"댄스/팝,
알앤비/소울 ",2019.08.20
34,2019-09-30 23:59:59,35,너를 만나,폴킴 ,"60,712,330",-,발라드 ,2018.10.29
35,2019-09-30 23:59:59,36,BAND,"창모, Hash Swan, ASH ISLAND, 김효은 ","59,982,682",5,랩/힙합 ,2019.06.08
36,2019-09-30 23:59:59,37,Another Day,"먼데이 키즈 (Monday Kiz), 펀치 (Punch) ","59,560,593",13,"발라드,
OST ",2019.07.14
37,2019-09-30 23:59:59,38,너에게 못했던 내 마지막 말은,다비치 ,"58,577,765",13,발라드 ,2019.05.17
38,2019-09-30 23:59:59,39,다시 만날까 봐,V.O.S ,"58,508,057",new,발라드 ,2019.09.01
39,2019-09-30 23:59:59,40,그때가 좋았어,케이시 (Kassy) ,"56,520,056",8,발라드 ,2018.12.31
40,2019-09-30 23:59:59,41,인사,멜로망스(Melomance) ,"56,197,990",20,"인디,
포크/어쿠스틱,
발라드 ",2019.07.09
41,2019-09-30 23:59:59,42,Snapping,청하 ,"55,684,100",22,댄스/팝 ,2019.06.24
42,2019-09-30 23:59:59,43,사계 (Four Seasons),태연 (TAEYEON) ,"55,453,924",14,"댄스/팝,
발라드 ",2019.03.24
43,2019-09-30 23:59:59,44,"담아 (Feat. 염따, pH-1) (Prod. BOYCOLD)","스윙스(Swings), Kid Milli, 매드 클라운 ","50,720,091",HOT,랩/힙합 ,2019.08.24
44,2019-09-30 23:59:59,45,노래방에서,장범준 ,"50,349,928",11,댄스/팝 ,2019.03.21
45,2019-09-30 23:59:59,46,FLASH,X1 (엑스원) ,"50,162,224",95,"댄스/팝,
발라드 ",2019.08.27
46,2019-09-30 23:59:59,47,Paris In The Rain,Lauv ,"48,809,574",8,팝 ,2018.05.31
47,2019-09-30 23:59:59,48,내 안부,이우 ,"48,309,722",6,발라드 ,2019.07.16
48,2019-09-30 23:59:59,49,그 끝에 그대,청하 ,"46,591,145",22,"발라드,
OST ",2019.08.03
